curp,nombre,metadata.institucion,nivelOrdenGobierno,declaracion.situacionPatrimonial.datosEmpleoCargoComision.areaAdscripcion,declaracion.situacionPatrimonial.datosEmpleoCargoComision.contratadoPorHonorarios,declaracion.situacionPatrimonial.datosEmpleoCargoComision.nivelEmpleoCargoComision,edu_nivel,exp_privado,exp_publico,exp_total,n_vehiculos,n_vehiculos_lujo,valor_vehiculos,n_bienes,valor_bienes,valor_inversiones,patrimonio_total,ingreso_total_neto_2015,ingreso_total_neto_2016,ingreso_total_neto_2017,ingreso_total_neto_2018,ingreso_total_neto_2019,ingreso_total_neto_2020
CAAA810322MPUSMT03,Antonio Castillo Alemán,CENTRO DE INVESTIGACION EN GEOGRAFIA Y GEOMATICA ING. JORGE L. TAMAYO A.C.,FEDERAL,Dirección General de Inteligencia,False,M34,LICENCIATURA,9.3,0.0,9.3,5.0,0.0,1902306.0,1.0,7427854.0,800146.0,10130306.0,437955.0,1545072.0,1668168.0,1629492.0,1529436.0,1623312.0
CAAB860805MPUSVN02,Benjamín Casárez Alva,CENTRO NACIONAL DE METROLOGIA,FEDERAL,Unidad de Transparencia,False,O33,LICENCIATURA,5.2,4.2,9.4,3.0,0.0,869683.0,1.0,768519.0,37103.0,1675305.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
CAAC760124MSNRGR09,Cristina Carranza Angulo,LOTERIA NACIONAL PARA LA ASISTENCIA PUBLICA,MUNICIPAL,Unidad de Asuntos Jurídicos,False,N34,LICENCIATURA,10.6,0.0,10.6,4.0,1.0,1918069.0,1.0,6367138.0,1562849.0,9848056.0,311295.0,1238820.0,1227192.0,1285932.0,1279596.0,1336968.0
CAAC810325HSNNMR06,Cristian Cantú Armendáriz,PATRONATO DE OBRAS E INSTALACIONES DEL INSTITUTO POLITECNICO NACIONAL,MUNICIPAL,Unidad de Transparencia,False,19,MAESTRÍA,6.2,4.8,11.0,7.0,3.0,3364121.0,3.0,115641619.0,55958859.0,174964599.0,1716580.0,5759904.0,5990772.0,5133192.0,4908504.0,5754684.0
CAAD710816MPULGN07,Daniel Calderón Angulo,PROCURADURIA DE LA DEFENSA DEL CONTRIBUYENTE,MUNICIPAL,Dirección General de Inteligencia,False,22,MAESTRÍA,11.5,0.0,11.5,8.0,4.0,4023153.0,3.0,282411200.0,87653083.0,374087436.0,1747800.0,5599560.0,5969016.0,5919852.0,5090232.0,6244560.0
CAAD791121MPURNM04,Damián Carrillo Alanis,INSTITUTO DE INVESTIGACIONES ELECTRICAS,ESTATAL,Dirección General de Administración,False,J32,MAESTRÍA,10.4,0.0,10.4,6.0,4.0,7253323.0,3.0,323638854.0,101597471.0,432489648.0,1932200.0,4870860.0,4872756.0,5184408.0,4670544.0,5974560.0
CAAE810925HAGBVL07,Emiliano Cabrera Acevedo,PATRONATO DE OBRAS E INSTALACIONES DEL INSTITUTO POLITECNICO NACIONAL,FEDERAL,Unidad de Asuntos Jurídicos,False,22,MAESTRÍA,5.8,5.0,10.8,8.0,4.0,8192560.0,3.0,200882731.0,66765465.0,275840756.0,2001145.0,6227640.0,5879256.0,7283556.0,6511932.0,7025232.0
CAAF760109HAGRRL03,Felipe Cardona Arriaga,SERVICIOS AEROPORTUARIOS DE LA CIUDAD DE MEXICO S.A. DE C.V.,ESTATAL,Unidad de Tecnologías de Información y Comunicaciones,False,O33,LICENCIATURA,6.1,5.2,11.3,5.0,1.0,821786.0,0.0,0.0,21593.0,843379.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
CAAF840618MSNNRT04,Fatima Candelaria Arredondo,CENTRO NACIONAL DE VIGILANCIA EPIDEMIOLOGICA Y CONTRTOL DE ENFERMEDADES,FEDERAL,Unidad de Administración,False,N22,LICENCIATURA,6.8,5.3,12.1,0.0,0.0,0.0,0.0,0.0,33141.0,33141.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
CAAG720126MPURNL06,Guillermina Carbajal Alonso,INSTITUTO MEXICANO DE LA JUVENTUD,MUNICIPAL,Dirección General de Vinculación,False,N33,LICENCIATURA,11.0,0.0,11.0,4.0,0.0,1408871.0,0.0,0.0,194847.0,1603718.0,293185.0,1061052.0,1161480.0,1187364.0,1156740.0,975936.0
CAAG780917HDFSNB02,Gabriel Casárez Arenas,PROCURADURIA GENERAL DE LA REPUBLICA,MUNICIPAL,Unidad de Transparencia,False,N34,ESPECIALIDAD,12.1,0.0,12.1,4.0,0.0,1444282.0,1.0,4633538.0,1247180.0,7325000.0,290975.0,1282224.0,1236828.0,1110900.0,1261212.0,1274964.0
CAAI870016HSNRDR06,Israel Carreón Apodaca,CORPORACION MEXICANA DE INVESTIGACION EN MATERIALES S.A. DE C.V.,FEDERAL,Dirección General de Administración,False,N33,LICENCIATURA,9.9,0.0,9.9,6.0,0.0,2604064.0,1.0,5186518.0,1879727.0,9670309.0,224180.0,1124064.0,1036020.0,1168164.0,1125672.0,1177992.0
CAAK781114MVZSYV07,Kevin Casárez Abeyta,INSTITUTO NACIONAL DE DESARROLLO SOCIAL,FEDERAL,Unidad de Tecnologías de Información y Comunicaciones,False,O33,LICENCIATURA,6.4,4.5,10.9,4.0,0.0,1173462.0,0.0,0.0,18714.0,1192176.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
CAAL810123MDFRBN05,Leonor Carrera Alba,SECRETARIA DE SALUD,MUNICIPAL,Dirección General de Tecnologías de Información,False,22,MAESTRÍA,5.8,5.3,11.1,9.0,5.0,6300633.0,3.0,107757317.0,48987397.0,163045347.0,1774400.0,6376872.0,6016272.0,6065508.0,5692716.0,5267280.0
CAAM750702HSNRLR06,Mario Carrasco Arellano,CENTRO DE CAPACITACION CINEMATOGRAFICA A.C.,ESTATAL,Unidad de Servicios Tecnológicos,False,L32,ESPECIALIDAD,6.8,6.4,13.2,9.0,5.0,7509794.0,3.0,98660390.0,43391742.0,149561926.0,1559155.0,4911312.0,4835820.0,4893744.0,4230240.0,4905096.0
CAAM791018HAGRTT02,Mateo Carrion Arteaga,FERROCARRILES NACIONALES DE MEXICO,MUNICIPAL,Dirección General de Vinculación,False,19,DOCTORADO,6.0,4.4,10.4,6.0,2.0,6536017.0,3.0,209795112.0,27200800.0,243531929.0,1609720.0,5666256.0,5927748.0,5824932.0,4799712.0,5584056.0
CAAM791105MDFRSX06,Maximiliano Carrera Arias,PRESIDENCIA DE LA REPUBLICA,MUNICIPAL,Unidad de Vinculación,False,O33,LICENCIATURA,11.3,0.0,11.3,0.0,0.0,0.0,0.0,0.0,21225.0,21225.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
CAAM820521MSNVRR05,Marco Antonio Cavazos Aparicio,"ADMINISTRACION PORTUARIA INTEGRAL DE PUERTO MADERO, S.A. DE C.V.",ESTATAL,Unidad de Asuntos Jurídicos,False,O33,LICENCIATURA,5.6,4.6,10.2,4.0,0.0,927077.0,0.0,0.0,6085.0,933162.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
CAAM821126HPURSR06,Mariana Carrasquillo Agosto,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,MUNICIPAL,Dirección General de Administración,False,17,ESPECIALIDAD,5.4,4.7,10.100000000000001,5.0,2.0,5357543.0,3.0,170857282.0,69118627.0,245333452.0,1662360.0,4334484.0,4741332.0,5409420.0,4504332.0,4112520.0
CAAP770808MAGLRT04,Patricio Caldera Alarcón,INSTITUTO NACIONAL DE CANCEROLOGIA,FEDERAL,Dirección General de Tecnologías de Información,False,O33,LICENCIATURA,10.2,0.0,10.2,5.0,0.0,888320.0,0.0,0.0,20676.0,908996.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
CAAR780607HVZRBS08,Rosa María Carrillo Alba,INSTITUTO DE LOS MEXICANOS EN EL EXTERIOR,MUNICIPAL,Unidad de Asuntos Jurídicos,False,19,MAESTRÍA,5.5,5.9,11.4,5.0,2.0,2363988.0,3.0,151072416.0,69216439.0,222652843.0,1566415.0,5639340.0,6269928.0,5035368.0,5835336.0,5119404.0
CAAR830419HVZSVB01,Rebeca Casas Alva,BANCO NACIONAL DEL EJERCITO FUERZA AEREA Y ARMADA S.N.C.,MUNICIPAL,Unidad de Vinculación,False,N34,MAESTRÍA,11.5,0.0,11.5,6.0,1.0,2774380.0,1.0,5412189.0,689890.0,8876459.0,298485.0,1349928.0,1274868.0,1366176.0,1324308.0,1261884.0
CAAR870425HSNLMD04,Rodrigo Caldera Almanza,CONSEJO NACIONAL DE FOMENTO EDUCATIVO,MUNICIPAL,Dirección General de Administración,False,N33,ESPECIALIDAD,7.0,5.0,12.0,4.0,1.0,1781947.0,1.0,6973998.0,259132.0,9015077.0,317730.0,1234956.0,1071252.0,1129296.0,1206528.0,1123392.0
CAAS760602MDFLÑN09,Sonia Caldera Araña,"CENTRO NACIONAL DE PLANEACION, ANALISIS E INFORMACION PARA EL COMBATE A LA DELINCUENCIA",MUNICIPAL,Dirección General de Vinculación,False,A33,LICENCIATURA,9.9,0.0,9.9,6.0,0.0,1269637.0,1.0,1422530.0,16977.0,2709144.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
CAAV790722HSNRYC09,Vicente Carrasquillo Amaya,INSTITUTO MEXICANO DE TECNOLOGIA DEL AGUA,MUNICIPAL,Dirección General de Administración,False,22,MAESTRÍA,11.0,0.0,11.0,7.0,2.0,6961792.0,3.0,229119800.0,79185913.0,315267505.0,1725495.0,6207864.0,5965716.0,6510684.0,6165792.0,5876604.0
CABA760016HDFRZX01,Alexa Carvajal Baeza,ADMINISTRACION PORTUARIA INTEGRAL DE ALTAMIRA S.A. DE C.V.,ESTATAL,Unidad de Tecnologías de Información y Comunicaciones,False,A33,LICENCIATURA,5.8,6.0,11.8,4.0,0.0,911869.0,0.0,0.0,16425.0,928294.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
CABB761106HSNMNN04,Benjamín Camacho Bueno,HOSPITAL JUAREZ DE MEXICO,ESTATAL,Dirección General de Administración,False,M34,LICENCIATURA,12.0,0.0,12.0,3.0,0.0,1027463.0,0.0,0.0,1034951.0,2062414.0,348545.0,1712328.0,1598652.0,1592712.0,1565976.0,1585224.0
CABB791002HSNMRR02,Brayan Camarillo Barrientos,INSTITUTO DE LOS MEXICANOS EN EL EXTERIOR,FEDERAL,Unidad de Tecnologías de Información y Comunicaciones,False,22,ESPECIALIDAD,5.4,5.2,10.600000000000001,5.0,3.0,4114727.0,3.0,214263931.0,100427529.0,318806187.0,1876630.0,6523656.0,6721740.0,6938196.0,5646924.0,7693500.0
CABB850512HDFRRR07,Brandon Carrion Brito,LOTERIA NACIONAL PARA LA ASISTENCIA PUBLICA,MUNICIPAL,Dirección General de Innovacion,False,N33,MAESTRÍA,12.0,0.0,12.0,6.0,0.0,2477609.0,1.0,8699244.0,554038.0,11730891.0,290630.0,1248480.0,1123668.0,1164684.0,1093584.0,1152684.0
CABC841008HDFSSR05,Carmen Casares Bustamante,ADMINISTRACION PORTUARIA INTEGRAL DE ENSENADA S.A. DE C.V.,ESTATAL,Dirección General de Innovacion,False,18,MAESTRÍA,6.5,5.0,11.5,7.0,3.0,3509484.0,3.0,170984043.0,77119522.0,251613049.0,1614110.0,4726704.0,4459392.0,5533092.0,4878336.0,5445720.0
CABD710726HVZRNN09,Daniela Carvajal Benavides,INSTITUTO POLITECNICO NACIONAL,MUNICIPAL,Dirección General de Tecnologías de Información,False,A33,LICENCIATURA,11.9,0.0,11.9,0.0,0.0,0.0,0.0,0.0,36721.0,36721.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
CABD801123HSNSLM02,Damián Castañeda Balderas,"CENTRO NACIONAL DE PLANEACION, ANALISIS E INFORMACION PARA EL COMBATE A LA DELINCUENCIA",ESTATAL,Unidad de Transparencia,False,A33,LICENCIATURA,12.4,0.0,12.4,4.0,1.0,547675.0,0.0,0.0,7572.0,555247.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
CABG740819HAGRLL08,Gilberto Carranza Beltrán,COMISION NACIONAL DE LIBROS DE TEXTO GRATUITOS,FEDERAL,Unidad de Servicios Tecnológicos,False,L32,DOCTORADO,5.8,6.0,11.8,5.0,2.0,3864486.0,3.0,205422595.0,94270256.0,303557337.0,1579480.0,4942536.0,4404060.0,4005408.0,4823400.0,5053188.0
CABG830025HAGLLB06,Gabriel Calvillo Balderas,DICONSA S.A. DE C.V.,FEDERAL,Dirección General de Innovacion,False,N22,LICENCIATURA,6.6,4.4,11.0,5.0,3.0,1390074.0,1.0,1723814.0,13980.0,3127868.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
CABG891022HSNRNL03,Guillermina Carreón Bonilla,LABORATORIOS DE BIOLOGICOS Y REACTIVOS DE MEXICO S.A. DE C.V.,MUNICIPAL,Dirección General de Vinculación,False,M34,LICENCIATURA,10.6,0.0,10.6,4.0,0.0,1593142.0,1.0,6640415.0,698893.0,8932450.0,331700.0,1589376.0,1509336.0,1716828.0,1610244.0,1608612.0
CABH840502MAGNRG02,Hugo Cano Berríos,CFE GENERACIÓN II,FEDERAL,Unidad de Servicios Tecnológicos,False,N22,LICENCIATURA,5.9,4.2,10.100000000000001,6.0,0.0,728443.0,0.0,0.0,19679.0,748122.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
CABJ820023HSNSLZ06,Jazmin Castro Blanco,FERROCARRIL DEL ISTMO DE TEHUANTEPEC S.A. DE C.V.,FEDERAL,Unidad de Transparencia,False,A33,LICENCIATURA,11.6,0.0,11.6,0.0,0.0,0.0,0.0,0.0,11030.0,11030.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
CABM740320MSNRNT04,Matías Carrasquillo Benavídez,GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO S.A. DE C.V.,ESTATAL,Dirección General de Administración,False,O33,LICENCIATURA,9.7,0.0,9.7,6.0,2.0,1526804.0,0.0,0.0,15219.0,1542023.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
CABM760926HDFNLR04,Marcos Canales Blanco,PROCURADURIA FEDERAL DEL CONSUMIDOR,ESTATAL,Unidad de Transparencia,False,N33,ESPECIALIDAD,11.6,0.0,11.6,5.0,0.0,2578430.0,0.0,0.0,575932.0,3154362.0,235325.0,1109448.0,1208952.0,1053852.0,1156440.0,1118772.0
CABM850317HAGRRL09,Melany Carmona Barrientos,INSTITUTO NACIONAL DE LAS MUJERES,FEDERAL,Dirección General de Administración,False,22,MAESTRÍA,11.2,0.0,11.2,7.0,3.0,5060150.0,2.0,89554020.0,66718988.0,161333158.0,1617025.0,6544032.0,6484812.0,6463176.0,5634600.0,6464196.0
CABO700602MPURNV03,Olivia Carranza Benavídez,AGENCIA NACIONAL DE SEGURIDAD INDUSTRIAL Y DE PROTECCIÓN AL MEDIO AMBIENTE DEL SECTOR HIDROCARBUROS,FEDERAL,Unidad de Administración,False,N22,LICENCIATURA,5.6,5.9,11.5,4.0,0.0,712509.0,1.0,1254255.0,19991.0,1986755.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
CABP871108MPUBRD02,Pedro Caballero Bernal,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,FEDERAL,Unidad de Servicios Tecnológicos,False,O33,LICENCIATURA,9.9,0.0,9.9,4.0,1.0,547839.0,1.0,742328.0,11912.0,1302079.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
CABP880106MDFMTT08,Patricia Camacho Batista,"FONATUR OPERADORA PORTUARIA, S.A. DE C.V.",MUNICIPAL,Unidad de Transparencia,False,M34,LICENCIATURA,7.0,4.9,11.9,4.0,1.0,1898817.0,1.0,2047418.0,677529.0,4623764.0,392600.0,1620672.0,1629924.0,1530732.0,1723644.0,1579128.0
CABT861110HDFRRR09,Teresa Carrion Barela,ADMINISTRACION DEL PATRIMONIO DE LA BENEFICENCIA PUBLICA,MUNICIPAL,Dirección General de Vinculación,False,J32,ESPECIALIDAD,6.4,6.8,13.2,6.0,5.0,3184166.0,3.0,127008868.0,121184370.0,251377404.0,1682910.0,5660844.0,5218692.0,4932804.0,5291508.0,4786056.0
CABV850321MDFSZR07,Verónica Castillo Baeza,TELECOMUNICACIONES DE MEXICO,ESTATAL,Unidad de Vinculación,False,N33,LICENCIATURA,6.3,4.6,10.899999999999999,5.0,1.0,2428490.0,1.0,4668315.0,780250.0,7877055.0,293640.0,1064160.0,1176948.0,1111176.0,1131840.0,1243044.0
CABV870801HDFBLL05,Valentina Cabán Balderas,P.M.I. COMERCIO INTERNACIONAL S.A. DE C.V.,ESTATAL,Unidad de Tecnologías de Información y Comunicaciones,False,O33,LICENCIATURA,10.5,0.0,10.5,0.0,0.0,0.0,0.0,0.0,14705.0,14705.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
CABX860519HSNRHC01,Xochitl Cardona Bahena,ADMINISTRACION PORTUARIA INTEGRAL DE PUERTO VALLARTA S.A. DE C.V.,MUNICIPAL,Unidad de Servicios Tecnológicos,False,A33,LICENCIATURA,11.2,0.0,11.2,0.0,0.0,0.0,0.0,0.0,22483.0,22483.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
CABX870501HDFVZM08,Ximena Cavazos Báez,ADMINISTRACION PORTUARIA INTEGRAL DE TOPOLOBAMPO S.A. DE C.V.,MUNICIPAL,Dirección General de Vinculación,False,N22,LICENCIATURA,12.5,0.0,12.5,6.0,2.0,911740.0,0.0,0.0,17694.0,929434.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
CABZ890217MSNRRundefined02,Zoe Cardenas Barrera,CENTRO NACIONAL DE VIGILANCIA EPIDEMIOLOGICA Y CONTRTOL DE ENFERMEDADES,FEDERAL,Unidad de Asuntos Jurídicos,False,17,MAESTRÍA,6.0,4.3,10.3,5.0,1.0,4677447.0,3.0,166469150.0,53040402.0,224186999.0,1550740.0,5020044.0,4564788.0,4744416.0,4089360.0,5214588.0
CACA740213MPUNSJ09,Alejandro Canales Casillas,COMISION NACIONAL DE CULTURA FISICA Y DEPORTE,MUNICIPAL,Unidad de Asuntos Jurídicos,False,M34,ESPECIALIDAD,5.4,4.5,9.9,5.0,1.0,2364727.0,1.0,6433927.0,982548.0,9781202.0,374815.0,1694760.0,1725960.0,1658040.0,1667208.0,1655340.0
CACA841123MDFLHX05,Alexa Calderón Chávez,SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,FEDERAL,Unidad de Servicios Tecnológicos,False,O32,LICENCIATURA,5.9,4.2,10.100000000000001,5.0,3.0,1102086.0,1.0,355933.0,11166.0,1469185.0,105560.0,506688.0,506688.0,506688.0,506688.0,506688.0
CACC750327HVZNRR05,Carlos Cantú Coronado,COMISION NACIONAL DE VIVIENDA,ESTATAL,Dirección General de Administración,False,A33,LICENCIATURA,12.0,0.0,12.0,4.0,0.0,846986.0,0.0,0.0,26848.0,873834.0,125000.0,600000.0,600000.0,600000.0,600000.0,600000.0
CACD741108MPUDRL03,Dolores Cadena Cerda,"CIATEC, A.C. CENTRO DE INNOVACION APLICADA EN TECNOLOGIAS COMPETITIVAS",FEDERAL,Dirección General de Inteligencia,False,M34,LICENCIATURA,5.9,4.8,10.7,3.0,0.0,1428036.0,1.0,8092572.0,609841.0,10130449.0,384075.0,1624512.0,1727520.0,1636956.0,1614708.0,1458444.0
CACE810927MDFSSZ08,Elizabeth Casárez Castillo,SOCIEDAD HIPOTECARIA FEDERAL S.N.C.,MUNICIPAL,Dirección General de Administración,False,L32,ESPECIALIDAD,5.9,5.8,11.7,10.0,5.0,6920317.0,3.0,176136515.0,64575772.0,247632604.0,1774355.0,4617240.0,5668404.0,4879104.0,5523540.0,4732572.0
CACF800307MVZRHD01,Federico Cardenas Chapa,COMISION NACIONAL DE BIOETICA,MUNICIPAL,Dirección General de Vinculación,False,N33,MAESTRÍA,5.5,4.1,9.6,4.0,0.0,1852514.0,1.0,5980010.0,609354.0,8441878.0,232645.0,1117284.0,1062576.0,1186896.0,1034904.0,1060164.0
CACF861024HVZRRR07,Francisca Carrion Carbajal,FONDO DE LA VIVIENDA DEL ISSSTE,FEDERAL,Dirección General de Administración,False,M34,MAESTRÍA,13.0,0.0,13.0,8.0,0.0,3635786.0,1.0,1095360.0,1293573.0,6024719.0,349630.0,1739376.0,1782720.0,1672236.0,1595040.0,1594956.0
CACI850817MAGSRN04,Irene Casas Carreón,INSTITUTO MEXICANO DEL TRANSPORTE,MUNICIPAL,Dirección General de Inteligencia,False,O32,LICENCIATURA,6.4,5.9,12.3,0.0,0.0,0.0,0.0,0.0,37302.0,37302.0,105560.0,506688.0,506688.0,506688.0,506688.0,506688.0
CACI851108HPUNDC05,Isaac Candelaria Cadena,TALLERES GRAFICOS DE MEXICO,MUNICIPAL,Unidad de Vinculación,False,22,ESPECIALIDAD,6.1,4.5,10.6,5.0,2.0,3695509.0,3.0,128278980.0,120773450.0,252747939.0,2404380.0,6810852.0,6318996.0,7121928.0,6853656.0,6256680.0
CACI860014HPUSRS09,Inés Casas Córdova,CONSEJO NACIONAL PARA PREVENIR LA DISCRIMINACION,MUNICIPAL,Unidad de Asuntos Jurídicos,False,18,MAESTRÍA,6.5,4.6,11.1,6.0,3.0,4514032.0,3.0,124276891.0,77718919.0,206509842.0,1339715.0,4974180.0,4533072.0,5058048.0,5559984.0,5078364.0
CACJ880206HAGRNS09,José Miguel Carreón Cantú,"FONATUR CONSTRUCTORA, S.A. DE C.V.",MUNICIPAL,Unidad de Administración,False,17,ESPECIALIDAD,6.4,6.1,12.5,7.0,4.0,5028219.0,3.0,235987655.0,75792016.0,316807890.0,1979540.0,5005032.0,3651348.0,4506936.0,4968972.0,4167960.0
CACL801003MDFRRN05,Leonor Carreón Carvajal,SECRETARIA DE LA DEFENSA NACIONAL,FEDERAL,Dirección General de Administración,False,N33,MAESTRÍA,6.9,4.6,11.5,5.0,0.0,2205516.0,1.0,5202219.0,1265934.0,8673669.0,244190.0,1093956.0,1095360.0,1196400.0,1053276.0,1143804.0
CACM701113HVZBLR02,María Cabrera Cuellar,CFE GENERACIÓN II,FEDERAL,Unidad de Tecnologías de Información y Comunicaciones,False,M34,LICENCIATURA,6.2,6.0,12.2,6.0,0.0,2751540.0,0.0,0.0,787346.0,3538886.0,319655.0,1650144.0,1684164.0,1704576.0,1689948.0,1604772.0
CACM800808HDFRRR01,María de los Ángeles Carrasquillo Cardona,INSTITUTO MEXICANO DE TECNOLOGIA DEL AGUA,MUNICIPAL,Dirección General de Administración,False,L32,ESPECIALIDAD,6.2,5.0,11.2,6.0,2.0,4949055.0,3.0,190492410.0,70423772.0,265865237.0,1361870.0,4940460.0,4578648.0,5405748.0,5671260.0,4293756.0
CACM800921MAGMVR05,María Guadalupe Camarillo Covarrubias,FIDEICOMISO DE FOMENTO MINERO,FEDERAL,Dirección General de Vinculación,False,M34,LICENCIATURA,5.4,4.2,9.600000000000001,4.0,1.0,1342924.0,1.0,8738050.0,1007233.0,11088207.0,384315.0,1634232.0,1759668.0,1612080.0,1768812.0,1609812.0
CACM810205MPUZBN09,Monserrat Cazares Cabrera,INSTITUTO NACIONAL DE ECOLOGIA,FEDERAL,Unidad de Tecnologías de Información y Comunicaciones,False,18,ESPECIALIDAD,6.0,5.9,11.9,6.0,3.0,5258292.0,3.0,122596770.0,98101506.0,225956568.0,1678510.0,5732232.0,4862232.0,5638788.0,4894908.0,5197200.0
CACN790512MAGSRC03,Nicole Casillas Carmona,CFE GENERACIÓN V,ESTATAL,Unidad de Transparencia,False,N33,LICENCIATURA,5.9,4.3,10.2,4.0,0.0,1933177.0,1.0,5641109.0,805005.0,8379291.0,306460.0,1076832.0,1086096.0,1110600.0,1063644.0,1093512.0
CACP750916HVZSSL01,Paulina Castillo Castro,ADMINISTRACION PORTUARIA INTEGRAL DE TOPOLOBAMPO S.A. DE C.V.,ESTATAL,Dirección General de Inteligencia,False,17,MAESTRÍA,6.4,6.5,12.9,6.0,2.0,6806644.0,3.0,250603698.0,129783912.0,387194254.0,1750480.0,5267088.0,4790700.0,4763544.0,4555404.0,4703208.0
CACP780305HPUVRD05,Pedro Cavazos Curiel,CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS A.C.,ESTATAL,Unidad de Transparencia,False,O33,LICENCIATURA,13.5,0.0,13.5,0.0,0.0,0.0,0.0,0.0,10232.0,10232.0,126855.0,608904.0,608904.0,608904.0,608904.0,608904.0
CACP880801MAGRRD04,Pedro Carrasquillo Coronado,TRIBUNAL FEDERAL DE CONCILIACION Y ARBITRAJE,MUNICIPAL,Dirección General de Inteligencia,False,M34,LICENCIATURA,12.0,0.0,12.0,6.0,1.0,2904466.0,1.0,2964467.0,1044011.0,6912944.0,378545.0,1653048.0,1729032.0,1588608.0,1574760.0,1629804.0
CACR710408HSNLNM05,Ramiro Calvillo Cano,HOSPITAL GENERAL DE MEXICO,FEDERAL,Dirección General de Tecnologías de Información,False,19,MAESTRÍA,13.5,0.0,13.5,6.0,4.0,6399458.0,2.0,120554023.0,70048150.0,197001631.0,1872835.0,5683212.0,5299080.0,5688996.0,4805256.0,4977048.0
CACR731110HAGZRB03,Rebeca Cazares Corral,FONDO ESPECIAL DE ASISTENCIA TECNICA Y GARANTIA PARA LOS CREDITOS AGROPECUARIOS,FEDERAL,Dirección General de Inteligencia,False,N33,LICENCIATURA,12.6,0.0,12.6,5.0,0.0,2154119.0,0.0,0.0,1349364.0,3503483.0,223825.0,1166904.0,1178016.0,1214484.0,1047696.0,1037652.0
CACR781005MDFNLM01,Ramiro Candelaria Calderón,SECRETARIA DE ECONOMIA,FEDERAL,Unidad de Tecnologías de Información y Comunicaciones,False,17,DOCTORADO,6.2,6.4,12.600000000000001,8.0,4.0,4070980.0,3.0,106989325.0,111032090.0,222092395.0,1592560.0,4405524.0,4335036.0,4938384.0,6015840.0,5427888.0
CACV830203HSNSNC08,Victor Manuel Casárez Candelaria,AEROPUERTOS Y SERVICIOS AUXILIARES,MUNICIPAL,Unidad de Tecnologías de Información y Comunicaciones,False,N22,LICENCIATURA,5.9,5.3,11.2,4.0,1.0,613291.0,1.0,1322681.0,28773.0,1964745.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
CACV890502MVZRNC05,Victoria Carrasquillo Centeno,"INSTALACIONES INMOBILIARIAS PARA INDUSTRIAS, S.A. DE C.V.",ESTATAL,Unidad de Servicios Tecnológicos,False,N22,LICENCIATURA,5.6,5.0,10.6,0.0,0.0,0.0,0.0,0.0,34403.0,34403.0,160000.0,768000.0,768000.0,768000.0,768000.0,768000.0
CADA740516HPUNLL05,Amalia Cano Delatorre,FERROCARRIL DEL ISTMO DE TEHUANTEPEC S.A. DE C.V.,MUNICIPAL,Unidad de Servicios Tecnológicos,False,22,DOCTORADO,6.4,3.7,10.100000000000001,6.0,2.0,7353351.0,2.0,121120841.0,106466680.0,234940872.0,1935350.0,5751360.0,5738772.0,5943960.0,5939508.0,5347440.0
CADA800023HVZNL 08,Ana Luisa Cantú Delrío,EL COLEGIO DE LA FRONTERA SUR,MUNICIPAL,Dirección General de Tecnologías de Información,False,O32,LICENCIATURA,5.7,3.8,9.5,0.0,0.0,0.0,1.0,1597568.0,14230.0,1611798.0,105560.0,506688.0,506688.0,506688.0,506688.0,506688.0
CADA820203HSNDÑN03,Alondra Romina Cadena Dueñas,FONDO DE GARANTIA Y FOMENTO PARA LAS ACTIVIDADES PESQUERAS,MUNICIPAL,Unidad de Servicios Tecnológicos,False,18,ESPECIALIDAD,7.1,4.7,11.8,5.0,4.0,3204801.0,3.0,258048228.0,87246512.0,348499541.0,1682320.0,4981020.0,5283600.0,4639416.0,4984956.0,5031408.0
