"curp_funcionario","r_70-2010_LUJO_TOTAL","r_70-2010_NO LUJO_TOTAL","r_2010-2015_LUJO_TOTAL","r_2010-2015_NO LUJO_TOTAL","r_2015-2020_LUJO_TOTAL","r_2015-2020_NO LUJO_TOTAL","r_70-2010_LUJO_VALOR","r_70-2010_NO LUJO_VALOR","r_2010-2015_LUJO_VALOR","r_2010-2015_NO LUJO_VALOR","r_2015-2020_LUJO_VALOR","r_2015-2020_NO LUJO_VALOR"
"CEEA800711MAGRQD01",NA,2,NA,1,NA,NA,NA,1061242,NA,426301,NA,NA
"CEEL790701HVZPCL09",NA,1,NA,1,NA,1,NA,490447,NA,328681,NA,510433
"CEGC871104HPUPTL04",NA,4,NA,NA,NA,1,NA,1442016,NA,NA,NA,444859
"CEGJ851111MPUNJR02",NA,4,NA,NA,NA,NA,NA,663059,NA,NA,NA,NA
"CEGM720620HDFRRL05",1,6,NA,NA,NA,NA,321997,1153723,NA,NA,NA,NA
"CEGY850601MDFNVR09",1,NA,2,3,1,1,1100000,NA,1049735,1798970,766564,793781
"CEHE740312MVZRNL09",1,4,NA,NA,NA,NA,118865,1030546,NA,NA,NA,NA
"CEHF830208HVZNRR09",NA,2,NA,2,NA,NA,NA,690604,NA,992784,NA,NA
"CEHG860524MPURRR07",NA,2,NA,1,NA,NA,NA,958402,NA,537523,NA,NA
"CEHN731012HDFRNT01",NA,2,NA,3,NA,NA,NA,998715,NA,1260560,NA,NA
"CEIS830121MSNPLB05",NA,3,NA,1,NA,NA,NA,1284811,NA,500717,NA,NA
"CEJF710203MAGJMR09",1,NA,NA,1,NA,NA,416061,NA,NA,321778,NA,NA
"CEKM740019HSNNNR09",NA,6,NA,NA,NA,NA,NA,1097050,NA,NA,NA,NA
"CEKS890427HDFDNL09",1,NA,4,2,NA,NA,539360,NA,3401225,1261967,NA,NA
"CELM870015MDFJYR01",NA,NA,4,2,NA,2,NA,NA,2034341,839842,NA,1268160
"CELR850917MAGRCF04",NA,NA,3,5,NA,NA,NA,NA,3172925,2936564,NA,NA
"CEMG810105HSNNTS01",NA,4,NA,NA,NA,NA,NA,937875,NA,NA,NA,NA
"CEMH750601HSNBSR06",NA,NA,2,NA,NA,2,NA,NA,3569110,NA,NA,1268333
"CEMH811107HVZRNR09",1,2,NA,NA,NA,NA,219279,318255,NA,NA,NA,NA
"CEMI801022MDFRTN05",1,1,3,2,NA,NA,390077,499299,4316161,1494970,NA,NA
"CEMJ750424HAGJRS06",NA,6,NA,NA,NA,NA,NA,2845412,NA,NA,NA,NA
"CEOE781119MAGPDL08",1,1,NA,NA,NA,NA,52912,118273,NA,NA,NA,NA
"CEOL710010MDFNLS04",1,4,NA,NA,NA,NA,150997,733666,NA,NA,NA,NA
"CEOV720512HAGDTR07",NA,NA,4,3,NA,NA,NA,NA,1947884,1454861,NA,NA
"CEPC840906HAGNRR08",1,NA,1,3,NA,NA,1100000,NA,430972,2090769,NA,NA
"CEPI870125HPUNRB03",NA,2,NA,1,NA,1,NA,930363,NA,432806,NA,500955
"CEPJ801121MDFRZS07",NA,1,NA,2,NA,NA,NA,433137,NA,920517,NA,NA
"CEQD820509MVZDNB03",NA,NA,1,1,NA,2,NA,NA,580711,451595,NA,756941
"CEQM790520HSNDNR06",NA,NA,3,1,NA,1,NA,NA,3022416,380406,NA,703534
"CERC700213MPURBL04",1,1,3,2,NA,NA,1100000,559760,1776684,1016960,NA,NA
"CERF840823MSNBCT09",1,1,NA,2,NA,NA,313306,493776,NA,1080777,NA,NA
"CERX870107MVZPSM02",NA,NA,2,4,NA,1,NA,NA,2712347,2529674,NA,560489
"CESA850002MDFRLC08",NA,1,3,1,NA,1,NA,616717,2883201,732918,NA,452179
"CESI880004HVZNSN08",1,1,NA,1,NA,NA,355886,545473,NA,399303,NA,NA
"CESS770725HAGRLN06",1,NA,NA,1,3,2,1100000,NA,NA,640452,2079937,1459628
"CETB851018MSNJRN04",1,4,NA,NA,NA,NA,215574,724851,NA,NA,NA,NA
"CETS880223MSNRRR01",NA,3,NA,NA,NA,NA,NA,1551813,NA,NA,NA,NA
"CEVA840217HDFNRX02",1,NA,1,2,1,NA,1100000,NA,781652,1067621,744794,NA
"CEVL840516MSNRRR01",1,3,NA,1,NA,NA,456057,1371212,NA,407113,NA,NA
"CHAA820813HDFHCT09",1,3,NA,NA,NA,NA,181932,592605,NA,NA,NA,NA
"CHAL790320MSNHRS09",1,4,NA,NA,NA,NA,120524,887553,NA,NA,NA,NA
"CHBG791119MVZHRR02",NA,4,1,1,NA,NA,NA,2030899,352464,302716,NA,NA
"CHCA750919MSNHDT07",NA,2,NA,NA,NA,NA,NA,218700,NA,NA,NA,NA
"CHCI700415HSNHRN06",1,NA,2,2,NA,2,1100000,NA,1139285,1482091,NA,998638
"CHCL870402MSNHLS02",NA,5,NA,NA,NA,NA,NA,1057091,NA,NA,NA,NA
"CHCO890814HDFHVT01",2,3,NA,NA,NA,NA,202666,232309,NA,NA,NA,NA
"CHCS890004MVZHNF06",1,3,NA,NA,NA,NA,184434,335404,NA,NA,NA,NA
"CHDL840916HSNHRC03",1,2,NA,NA,NA,NA,360025,730751,NA,NA,NA,NA
"CHGM891023HVZHRN06",1,2,NA,1,NA,NA,520147,988833,NA,312339,NA,NA
"CHKJ840517MDFHNS05",1,NA,2,4,NA,NA,1100000,NA,1238253,2136128,NA,NA
"CHLM780118HDFHRG08",1,5,NA,NA,NA,NA,70325,931390,NA,NA,NA,NA
"CHMÓ870003MPUHLC06",NA,4,NA,NA,NA,NA,NA,866408,NA,NA,NA,NA
"CHOL850320HPUHHN07",NA,1,3,4,NA,1,NA,496970,2792612,2366463,NA,652504
"CHOS720722MDFHDL07",NA,1,1,NA,NA,NA,NA,569538,494050,NA,NA,NA
"CHSE740618HVZHVL06",1,4,NA,NA,NA,NA,538087,1926723,NA,NA,NA,NA
"CHSM771024MAGHGG04",NA,1,NA,2,NA,NA,NA,408239,NA,764270,NA,NA
"CIAM790827HSNNCR08",1,6,NA,NA,NA,NA,284636,931373,NA,NA,NA,NA
"CIAM830112HSNSCR08",NA,1,NA,1,NA,1,NA,562002,NA,477000,NA,414624
"CIGI850318MDFNZN03",NA,NA,5,1,NA,1,NA,NA,4447550,593421,NA,506881
"CIKG750922MDFNMR03",NA,NA,3,2,1,NA,NA,NA,3412505,1174242,790401,NA
"CIKI800224MVZNNN09",NA,4,NA,NA,NA,NA,NA,893169,NA,NA,NA,NA
"CIRB760927MPUSBN01",1,2,NA,2,NA,NA,367989,742269,NA,918864,NA,NA
"CIRJ780802HAGSQL06",NA,1,NA,3,NA,NA,NA,352866,NA,1162842,NA,NA
"CISL770426MAGNLZ01",NA,4,NA,NA,NA,NA,NA,1617306,NA,NA,NA,NA
"CIZM790918MPUSÑR09",NA,1,2,3,NA,NA,NA,591502,2378961,1607218,NA,NA
"COAA830422MSNRCX01",NA,NA,1,3,NA,1,NA,NA,0,1557296,NA,693153
"COAC700602HAGRNR08",1,NA,3,2,NA,NA,1100000,NA,1500400,1035910,NA,NA
"COAD890922MSNRÑG05",NA,2,NA,4,NA,NA,NA,865590,NA,2054313,NA,NA
"COAG720209MVZRDL09",1,1,3,1,NA,NA,635570,777349,4338617,598648,NA,NA
"COAG820714MVZVDR04",1,2,3,2,NA,NA,651801,1416066,5200931,1175118,NA,NA
"COAH791104MDFTRR03",1,NA,3,2,NA,1,471246,NA,2978223,1046180,NA,734273
"COAJ800309MPURLQ04",NA,1,2,4,1,NA,NA,496802,3581718,2714987,675901,NA
"COAL700709MVZNNZ08",NA,1,2,NA,NA,NA,NA,441422,816023,NA,NA,NA
"COAL750110HDFNÑN05",NA,1,2,2,NA,1,NA,398303,4646028,1318115,NA,644861
"COAL890220MPURBS06",NA,4,NA,1,NA,NA,NA,2128562,NA,528779,NA,NA
"COAL890815HDFRVR08",NA,2,NA,2,NA,NA,NA,691838,NA,1057830,NA,NA
"COÁM880125HPULLR01",NA,NA,3,1,NA,NA,NA,NA,5084456,710423,NA,NA
"COAV790015HSNRRR03",1,NA,2,2,NA,NA,1100000,NA,1296715,1151263,NA,NA
"COBA821019MPUVDJ05",2,4,NA,NA,NA,NA,443581,688402,NA,NA,NA,NA
"COBA860424HAGRLN05",2,4,NA,NA,NA,NA,375309,948210,NA,NA,NA,NA
"COBA860723HVZRLN02",NA,NA,2,1,NA,2,NA,NA,2195457,491565,NA,1168008
"COBB840407MPURSN01",NA,5,NA,NA,NA,NA,NA,717860,NA,NA,NA,NA
"COBC731014HSNNSR06",1,NA,NA,3,2,NA,1100000,NA,NA,2122018,1272758,NA
"COBE750603MVZRRS03",1,3,NA,1,NA,NA,450248,1346596,NA,541683,NA,NA
"COBG790118HAGLLL07",NA,1,1,1,1,NA,NA,487069,450961,367072,381939,NA
"COBI870515MSNLRS05",NA,5,NA,NA,NA,NA,NA,852393,NA,NA,NA,NA
"COBJ780311HPURZV09",NA,1,5,1,NA,NA,NA,666632,6404430,454843,NA,NA
"COBM740410MVZLRR04",1,4,NA,NA,NA,NA,231118,1045825,NA,NA,NA,NA
"COBM830323HAGTSR04",NA,4,NA,2,NA,NA,NA,2017983,NA,850853,NA,NA
"COCA711108MVZRNF07",NA,3,NA,1,NA,NA,NA,1303224,NA,546343,NA,NA
"COCA810421HVZLR 01",1,NA,3,1,NA,NA,1100000,NA,1969793,688596,NA,NA
"COCA840001MSNLRD04",NA,NA,5,3,NA,NA,NA,NA,2319718,2261051,NA,NA
"COCC750912MPULRR08",1,5,NA,NA,NA,NA,36911,888526,NA,NA,NA,NA
"COCE710421MAGRRV02",1,NA,2,3,1,NA,768619,NA,2771972,1994219,383597,NA
"COCG770707HPULSL07",1,NA,3,4,1,NA,383473,NA,1211957,2820435,575417,NA
"COCI820416MDFVRB08",NA,NA,3,2,NA,NA,NA,NA,3122105,897344,NA,NA
"COCJ700008MAGRSS09",1,1,3,2,NA,1,503759,672978,4321198,1066518,NA,711741
"COCK870620HAGRRV02",NA,NA,4,1,NA,NA,NA,NA,3591277,611014,NA,NA
"COCM880120MSNRRR09",NA,5,NA,1,NA,NA,NA,2107994,NA,384766,NA,NA
"COCR860405HPURBN08",1,4,NA,1,NA,NA,431057,1911987,NA,412416,NA,NA
"COCT780822HAGRRD09",NA,7,NA,NA,NA,NA,NA,1362212,NA,NA,NA,NA
"CODD790906HAGRLL01",NA,2,NA,2,NA,NA,NA,1023940,NA,827215,NA,NA
"CODI880202HAGRLB06",1,1,2,2,NA,1,1100000,516262,936988,1276440,NA,496296
"CÓDP890714MVZR L02",1,2,NA,NA,NA,NA,343148,902154,NA,NA,NA,NA
"COEL720025HVZRTC03",NA,3,NA,1,NA,NA,NA,1299189,NA,384538,NA,NA
"COEM880126HVZRPR05",NA,1,NA,1,NA,NA,NA,414328,NA,524235,NA,NA
"COER730819MAGNPM01",NA,4,1,2,NA,NA,NA,1997957,470271,918656,NA,NA
"COEV770707MDFRCC03",1,2,NA,NA,NA,NA,140001,295669,NA,NA,NA,NA
"COFZ720524MDFRRundefined07",NA,2,NA,1,NA,NA,NA,992202,NA,479805,NA,NA
"COGR860317HPULRF04",1,4,NA,NA,NA,NA,134578,354340,NA,NA,NA,NA
"COHG831020MAGRNL03",NA,3,1,1,NA,NA,NA,1326358,393152,525529,NA,NA
"COHS861018MPURRN08",NA,1,1,3,NA,NA,NA,374031,542657,1418252,NA,NA
"COKI830623MDFLNN01",NA,1,3,3,1,NA,NA,736678,1173809,1722853,420580,NA
"COKS760520MVZRRF03",NA,3,NA,1,NA,1,NA,1523050,NA,576777,NA,398386
"COLB720610HSNLRR01",2,1,NA,4,NA,NA,1785441,562568,NA,2507130,NA,NA
"COLC760518MPURVR01",NA,1,4,1,NA,1,NA,463605,3926460,794276,NA,718995
"COLT710522MPUTVR07",NA,4,NA,1,NA,NA,NA,2013894,NA,544835,NA,NA
"COMA780802HDFRY 02",NA,3,1,1,NA,NA,NA,1337884,580662,536072,NA,NA
"COME711019MPULNT08",NA,NA,4,3,NA,NA,NA,NA,1715774,1900971,NA,NA
"COME801103HVZLNL05",2,NA,2,2,NA,2,1765716,NA,1101897,1117872,NA,1284325
"COMJ760107MSNLRS07",NA,3,NA,NA,NA,NA,NA,709537,NA,NA,NA,NA
"COMM890907MPULNR07",NA,1,5,3,NA,NA,NA,459801,6462292,1951542,NA,NA
"COMN840913MAGRTC03",NA,1,2,2,NA,NA,NA,527172,724728,849624,NA,NA
"COMP800910MDFNRL05",NA,1,5,3,NA,1,NA,677118,4124911,1897311,NA,648376
"CONÁ830304HVZRVG01",1,4,NA,NA,NA,NA,321491,1974171,NA,NA,NA,NA
"CONA850726MSNLVT06",1,2,NA,1,NA,NA,580872,907874,NA,390747,NA,NA
"COOV820426HSNLTC06",1,2,NA,1,NA,NA,583541,949765,NA,525551,NA,NA
"COOX811120HAGNTM06",NA,1,1,4,NA,NA,NA,748981,0,2376668,NA,NA
"COOX820001HDFLRC08",NA,5,NA,NA,NA,NA,NA,994111,NA,NA,NA,NA
"COPE761117HAGRLT07",NA,NA,2,3,NA,NA,NA,NA,3621839,1651864,NA,NA
"COPE880424MAGRDL01",NA,5,NA,NA,NA,NA,NA,1059007,NA,NA,NA,NA
"COPH700714HSNRZR01",NA,NA,5,3,NA,NA,NA,NA,4257718,1734059,NA,NA
"COPJ780701HPURÑL06",NA,2,1,3,NA,NA,NA,817937,577898,1546165,NA,NA
"COPM830603MDFLRG02",NA,NA,3,6,1,NA,NA,NA,2961958,3698234,795916,NA
"COPS730715HAGLCN08",NA,2,1,NA,NA,1,NA,895913,369421,NA,NA,301142
"COQE880108MAGLRundefined01",2,1,NA,1,NA,NA,815253,421490,NA,316616,NA,NA
"COQR740506HPURNM01",NA,3,NA,NA,NA,NA,NA,563530,NA,NA,NA,NA
"CORC881026HSNTDR01",NA,2,NA,1,NA,NA,NA,994770,NA,562767,NA,NA
"CORE701027HSNRNM03",NA,1,2,1,1,2,NA,715779,658435,589141,464304,1017289
"CORF820126MAGNSR09",1,4,NA,NA,NA,NA,305299,978451,NA,NA,NA,NA
"CORM750026HPURYR05",NA,1,3,1,NA,NA,NA,743866,1180861,652775,NA,NA
"CORR720124HAGTVB08",NA,NA,2,4,NA,1,NA,NA,2721691,2413735,NA,618973
"CORV750703HVZLJR02",NA,2,NA,2,NA,NA,NA,1038944,NA,822943,NA,NA
"CORV840104MVZRCC03",1,1,NA,3,NA,1,1100000,671096,NA,1677231,NA,538721
"CORY720301MVZLNM08",NA,3,1,NA,NA,1,NA,1500180,387606,NA,NA,518114
"COSA760016HVZRPL01",NA,3,NA,NA,NA,NA,NA,1127312,NA,NA,NA,NA
"COSL760111MPUVNS08",NA,4,NA,1,NA,NA,NA,1916678,NA,403880,NA,NA
"COSL760719HPUNLS04",NA,1,1,1,NA,NA,NA,412600,551865,564247,NA,NA
"COSO860521HAGVLT02",1,NA,2,3,2,NA,486251,NA,712074,1603892,900136,NA
"COTA820302MAGLFT08",NA,NA,3,NA,NA,2,NA,NA,4230559,NA,NA,1290164
"COTA840123MSNLR 01",NA,1,1,2,NA,1,NA,343191,349630,874161,NA,303710
"COTB780616MDFNFR05",NA,6,NA,1,NA,NA,NA,2577585,NA,407345,NA,NA
"CÓTD820821HPURJL04",NA,NA,3,3,2,NA,NA,NA,5324189,1896675,1082309,NA
"COTE860204HAGRJL09",NA,3,NA,2,NA,NA,NA,1457044,NA,713370,NA,NA
"COTM700813MAGRJR04",1,2,NA,1,NA,NA,371339,832907,NA,489574,NA,NA
"COTN740419HAGRRC08",NA,1,2,3,NA,NA,NA,495955,588335,1841259,NA,NA
"COTS860825HDFRJB04",NA,NA,NA,2,NA,1,NA,NA,NA,1044589,NA,423440
"COUG880021HAGRBB07",NA,2,2,2,NA,NA,NA,1435558,2457830,1403783,NA,NA
"COVA850712MVZLLD09",NA,2,NA,1,NA,2,NA,951152,NA,571768,NA,948487
"COVC780709HPULLT08",1,4,NA,NA,NA,NA,155532,781297,NA,NA,NA,NA
"COVD830019HDFLLL01",1,3,NA,1,NA,NA,372022,1482258,NA,443463,NA,NA
"COXI840212MSNLNN03",NA,4,NA,1,NA,2,NA,1678858,NA,442915,NA,717480
"COXT850218MDFRCM06",NA,1,NA,1,NA,1,NA,363371,NA,498332,NA,593035
"COYB851126HSNNGR03",1,1,NA,NA,NA,NA,202798,67901,NA,NA,NA,NA
"COYP730701HVZLMD07",NA,1,NA,1,NA,NA,NA,445896,NA,388111,NA,NA
"CÓZA850615HAGRMundefined05",NA,4,1,1,NA,1,NA,1781130,384839,464925,NA,511694
"COZC771024HAGRML06",2,2,NA,1,NA,NA,777905,905626,NA,542554,NA,NA
"COZE740520MDFLLL07",NA,1,NA,2,NA,NA,NA,401801,NA,931857,NA,NA
"COZE870519MPURML03",NA,3,NA,1,NA,NA,NA,1456940,NA,430853,NA,NA
"COZF871024MAGTBR02",1,3,NA,NA,NA,NA,31654,560596,NA,NA,NA,NA
"CRAF891016MPURSL06",NA,4,NA,NA,NA,1,NA,1609217,NA,NA,NA,592655
"CRAG770308MVZRTB09",1,1,2,1,1,NA,1100000,415104,1237151,750213,491742,NA
"CRAN800604MAGRRC08",NA,NA,3,1,NA,1,NA,NA,1043639,777508,NA,473210
"CRBR830825HDFRRN04",NA,1,NA,NA,NA,NA,NA,195822,NA,NA,NA,NA
"CRGM850322HPURTR01",NA,2,NA,NA,NA,NA,NA,917917,NA,NA,NA,NA
"CRIE700217MAGRRT04",NA,6,NA,NA,NA,NA,NA,1187243,NA,NA,NA,NA
"CRMA740411MAGRJ 03",NA,2,NA,NA,NA,NA,NA,911735,NA,NA,NA,NA
"CROA860511MVZRST03",1,2,NA,NA,NA,NA,439242,1095053,NA,NA,NA,NA
"CRPS801113MAGRRM02",1,1,2,3,NA,NA,1100000,465247,1047205,1608089,NA,NA
"CRQB700424HPURNN08",NA,NA,NA,2,NA,2,NA,NA,NA,846696,NA,772523
"CRRA740207HSNRJS03",NA,1,NA,2,NA,NA,NA,338962,NA,1047301,NA,NA
"CRRV771111HAGRSC06",2,4,NA,NA,NA,NA,173684,821538,NA,NA,NA,NA
"CRSF890324MPURSR03",NA,1,4,1,NA,NA,NA,709006,3777391,771922,NA,NA
"CRSS831020MPURZR08",NA,4,NA,1,NA,NA,NA,1540664,NA,475709,NA,NA
"CRVM840707MPURSR07",NA,3,2,1,NA,1,NA,1798640,4936500,722788,NA,453488
"CRVV730922HVZRLC04",1,2,NA,NA,NA,NA,392666,1020714,NA,NA,NA,NA
"CUAA860711MVZRVL09",1,NA,3,3,NA,NA,683217,NA,5578872,1626672,NA,NA
"CUAI720407MSNLÑR09",NA,1,2,3,NA,NA,NA,513247,4931335,1743949,NA,NA
"CUDG720923HAGRRB04",NA,2,NA,3,NA,NA,NA,885596,NA,1368167,NA,NA
"CUHM870316MDFLRR03",NA,2,3,1,2,NA,NA,1160315,998227,598506,950342,NA
"CUNC860713MVZRGN04",NA,2,NA,2,NA,1,NA,807610,NA,1038877,NA,372860
"CUOM840404HAGLMG09",1,4,NA,NA,NA,NA,157982,565515,NA,NA,NA,NA
"CUPR880508HPULDC03",NA,4,NA,NA,NA,NA,NA,896248,NA,NA,NA,NA
"CUQD700902MSNRNN03",NA,3,NA,1,NA,NA,NA,1155255,NA,314674,NA,NA
"CURL851118MAGRJT05",NA,NA,1,2,NA,1,NA,NA,4200000,1181844,NA,748129
"CUTC750524MSNRMT05",2,3,NA,NA,NA,NA,226944,454793,NA,NA,NA,NA
"CUVM760724HAGRLN07",NA,1,2,3,NA,NA,NA,482339,2650701,1750182,NA,NA
"DÁBD780423HSNVNG06",NA,3,NA,2,NA,1,NA,1456057,NA,858645,NA,387813
"DÁDA780014MAGVRF02",NA,6,NA,NA,NA,NA,NA,1253911,NA,NA,NA,NA
"DÁLJ820224HDFVMS04",1,1,1,3,NA,NA,1100000,712666,590426,1565989,NA,NA
"DÁVA750202MSNVLJ05",2,NA,2,2,NA,1,1266752,NA,3731751,1210120,NA,741998
"DEAA830603HVZLSundefined06",1,5,NA,NA,NA,1,504775,2182244,NA,NA,NA,346364
"DEAE820420HDFLML04",1,2,NA,2,NA,NA,327584,939504,NA,848980,NA,NA
"DEAI870604MVZLRR01",NA,3,NA,1,NA,NA,NA,1261828,NA,403980,NA,NA
"DEAJ790211MAG MS04",NA,3,NA,NA,NA,NA,NA,773552,NA,NA,NA,NA
"DEAL760920MDFLYC04",NA,1,2,2,NA,1,NA,475952,2480180,867829,NA,797919
"DEAL860913HVZLMT06",NA,4,1,2,NA,NA,NA,1771099,339163,949217,NA,NA
"DEAM770122HSNLYR02",NA,1,3,1,NA,2,NA,743602,5433401,717968,NA,1018232
"DEÁM870610MAGLLG05",NA,1,NA,2,NA,NA,NA,346000,NA,997480,NA,NA
"DEAN820002HAGLCM05",1,1,2,5,NA,NA,488735,627805,784977,2720185,NA,NA
"DEBL861122HSNLLS06",1,NA,2,1,1,1,529490,NA,2360982,727309,648566,687046
"DEBM730706MDFLCC05",2,NA,3,2,1,NA,852018,NA,2868149,1268401,413263,NA
"DEBM760807MSNLRR06",NA,3,NA,3,NA,NA,NA,1245215,NA,1243931,NA,NA
"DECA820215MAGLBN01",1,3,NA,NA,NA,NA,309430,681529,NA,NA,NA,NA
"DECE700706HPULRT05",NA,3,NA,2,NA,NA,NA,1184673,NA,758182,NA,NA
"DECE861014HAGLLC03",NA,4,NA,1,NA,NA,NA,1865061,NA,533597,NA,NA
"DECH700218HVZ RG01",1,1,NA,2,NA,NA,395998,389969,NA,1116116,NA,NA
"DECI750316MVZLDB04",NA,4,NA,2,NA,NA,NA,1874781,NA,1072756,NA,NA
"DECI850617HSNLRN02",1,2,1,1,NA,1,1100000,974016,461297,480749,NA,605055
"DECI860626MPULHN09",NA,NA,5,1,NA,2,NA,NA,4727267,707108,NA,1034270
"DECL780107HDFLLL03",1,NA,3,2,NA,NA,554740,NA,4305827,1057285,NA,NA
"DECL780511HSNLSN09",NA,3,NA,1,NA,NA,NA,1286270,NA,387417,NA,NA
"DECM891023MSN RR09",NA,1,NA,3,NA,NA,NA,566862,NA,1355002,NA,NA
"DECP720210MDF TL06",NA,3,NA,2,NA,NA,NA,1063915,NA,642232,NA,NA
"DECP771105HAGLJL09",1,NA,3,NA,NA,2,462523,NA,1240482,NA,NA,1019956
"DECS760602HSNLSN03",1,4,NA,NA,NA,NA,169207,1048193,NA,NA,NA,NA
"DECX710314HSNLRM04",NA,5,NA,NA,NA,NA,NA,1040065,NA,NA,NA,NA
"DEDA890001HVZLLJ07",NA,3,NA,NA,NA,NA,NA,596083,NA,NA,NA,NA
"DEES880703HVZLQL08",1,3,NA,NA,NA,NA,370640,1208969,NA,NA,NA,NA
"DEET720209HAGLQR01",NA,4,1,NA,NA,NA,NA,1642605,595292,NA,NA,NA
"DEFB810821MVZLRR09",2,1,3,1,NA,1,1373387,602564,4252149,499279,NA,570862
"DEFM820621HSNLJR08",2,NA,1,3,NA,NA,1153633,NA,3100000,1632327,NA,NA
"DEFR860713MVZLGC05",1,1,3,1,NA,NA,584402,657799,3136338,692239,NA,NA
"DEGC710617MAGLDM07",NA,1,2,1,NA,1,NA,423309,2299509,603717,NA,549590
"DEGC830301HSN TR09",NA,1,2,3,NA,1,NA,569347,4659118,1798025,NA,469108
"DEGJ861006MPULDL09",NA,NA,1,4,NA,NA,NA,NA,1700000,2198527,NA,NA
"DEGM880825MSNLNX02",NA,NA,3,3,NA,1,NA,NA,4073349,1774434,NA,390617
"DEHL770605HAG NS02",NA,4,NA,1,NA,NA,NA,1587496,NA,571865,NA,NA
"DEHT740704HVZLLR08",NA,NA,2,2,NA,1,NA,NA,2738614,1391990,NA,561302
"DEKD870907HPULNN01",NA,1,2,3,NA,NA,NA,462833,500375,2141312,NA,NA
"DEKF840708MVZLRR02",2,3,NA,NA,NA,NA,516977,882031,NA,NA,NA,NA
"DEKJ861125MSNLRS08",NA,3,NA,NA,NA,NA,NA,1541240,NA,NA,NA,NA
"DEKO740803MVZLRV01",1,1,1,2,1,1,1100000,473889,601652,1112694,653124,764103
"DEKS700804MVZLMB07",NA,4,NA,NA,NA,NA,NA,1229590,NA,NA,NA,NA
"DELE780615HDFLBR07",1,1,2,1,NA,NA,734797,648894,2570325,409386,NA,NA
"DELX811124MVZLMM01",1,3,NA,2,NA,NA,312916,1470706,NA,758717,NA,NA
"DEMA740713MVZ YT04",1,NA,NA,2,NA,NA,315286,NA,NA,1028418,NA,NA
"DEMC810602HAGLÑC08",1,3,NA,1,NA,NA,470020,1640356,NA,566567,NA,NA
"DEMD741117MSNLJN01",1,NA,NA,1,NA,1,529732,NA,NA,359089,NA,548091
"DEMD850311MVZLRR09",1,3,NA,2,NA,NA,589671,1553170,NA,1061761,NA,NA
"DEMG841008MVZLNL04",2,NA,2,1,NA,NA,1188260,NA,2509930,665889,NA,NA
"DEMH841116MDFLTG06",1,NA,1,2,NA,2,1100000,NA,457819,1130367,NA,1150485
"DEMI820003HPULDS07",1,1,NA,1,NA,NA,323363,361867,NA,384037,NA,NA
"DEMV830104HAGLLC04",NA,5,NA,NA,NA,NA,NA,753574,NA,NA,NA,NA
"DENJ710203HDFLGS02",1,4,NA,NA,NA,NA,383244,1907861,NA,NA,NA,NA
"DENL801008MAGLRS08",NA,2,NA,NA,NA,1,NA,863999,NA,NA,NA,492396
"DENÓ751011MDF JC01",NA,1,1,2,NA,2,NA,787299,2e+06,869768,NA,1230261
"DENV770218HAGLZR08",1,NA,2,3,NA,1,596733,NA,767251,1556127,NA,752920
"DEOA790825MAGLRD01",NA,1,2,5,NA,NA,NA,553788,604791,3130444,NA,NA
"DEOE700126HDFLVS08",NA,4,NA,NA,NA,NA,NA,939542,NA,NA,NA,NA
"DEOE830023HDFLSL04",NA,2,NA,NA,NA,NA,NA,427815,NA,NA,NA,NA
"DEOE860502HAG TM05",NA,NA,2,3,2,1,NA,NA,3560468,1688031,1239582,711924
"DEOJ850201MSNLZS03",NA,3,NA,2,NA,NA,NA,1302555,NA,893279,NA,NA
"DEOS740015HVZLSR07",1,1,1,2,NA,1,536375,423350,443501,935532,NA,588137
"DEPJ881003HDFLNL01",NA,3,NA,NA,NA,1,NA,1342599,NA,NA,NA,543139
"DEPM891122HAGLRR02",NA,6,NA,NA,NA,NA,NA,2780593,NA,NA,NA,NA
"DEPP870416HVZLRT09",1,4,NA,NA,NA,NA,57753,573009,NA,NA,NA,NA
"DERM720804MPU DN01",NA,NA,4,1,NA,2,NA,NA,3433820,727413,NA,895467
"DERM750209MVZLMR05",2,NA,2,2,NA,1,1230829,NA,3481298,1137709,NA,562010
"DERY700124HVZLYR01",2,2,NA,NA,NA,NA,915424,930188,NA,NA,NA,NA
"DESÁ781107MVZ RG09",1,3,NA,NA,NA,NA,296116,714732,NA,NA,NA,NA
"DESC770203MAGLDR04",NA,4,NA,NA,NA,NA,NA,491241,NA,NA,NA,NA
"DESI730021MAGLNS08",NA,NA,1,4,NA,NA,NA,NA,4200000,1949048,NA,NA
"DESJ811101HAGLLN08",NA,1,NA,NA,1,1,NA,470664,NA,NA,434331,335123
"DESL760422MPULZL03",NA,3,NA,1,NA,NA,NA,1374018,NA,344574,NA,NA
"DETI830601MDFLRR09",1,NA,1,2,NA,NA,529129,NA,390835,1120545,NA,NA
"DEVA730321MVZLRB07",NA,5,NA,1,NA,NA,NA,2459768,NA,563276,NA,NA
"DEVA740217HAGLRundefined02",1,6,NA,NA,NA,NA,510741,2846455,NA,NA,NA,NA
"DEVC760704MDFLNR06",1,6,NA,NA,NA,NA,226576,1187543,NA,NA,NA,NA
"DEVG720814HSNLLL04",NA,4,NA,1,NA,1,NA,2022791,NA,401772,NA,589004
"DEVI811116MVZLLB09",1,2,NA,1,NA,NA,588371,872009,NA,369271,NA,NA
