"curp_funcionario","r_70-2010_COMPRAVENTA_TOTAL","r_70-2010_DONACIÓN_TOTAL","r_2010-2015_COMPRAVENTA_TOTAL","r_2015-2020_COMPRAVENTA_TOTAL","r_70-2010_COMPRAVENTA_VALOR","r_70-2010_DONACIÓN_VALOR","r_2010-2015_COMPRAVENTA_VALOR","r_2015-2020_COMPRAVENTA_VALOR"
"BAQJ840621MSNRÑR04",2,NA,NA,NA,96019237,NA,NA,NA
"BARV890905MAGCYC03",3,NA,NA,NA,205367477,NA,NA,NA
"BASA870609HAGHLJ02",1,NA,NA,NA,4288205,NA,NA,NA
"BASC710910HSNDSR01",1,NA,NA,NA,9203925,NA,NA,NA
"BASE850306HPUÑMN09",3,NA,NA,NA,260679254,NA,NA,NA
"BASG780518MPUHLL08",3,NA,NA,NA,146191880,NA,NA,NA
"BASG890816HPUNLN07",3,NA,NA,NA,132132588,NA,NA,NA
"BASJ800915HDFLNS06",1,NA,NA,NA,5161465,NA,NA,NA
"BASR740821MAGDNM03",1,NA,NA,NA,9600846,NA,NA,NA
"BATC850018HDFRRR05",2,NA,NA,NA,146437312,NA,NA,NA
"BATE730105MVZDLZ07",3,NA,NA,NA,211810933,NA,NA,NA
"BATL870403MDFRLZ05",2,NA,NA,NA,108058832,NA,NA,NA
"BATS810204HSNRJL09",2,1,NA,NA,77172532,32663223,NA,NA
"BAUE860405MSNRBP04",3,NA,NA,NA,200199687,NA,NA,NA
"BAVA720105MSNNRD04",1,NA,NA,NA,9686006,NA,NA,NA
"BAVA810424HAGRLC08",1,1,NA,NA,30556671,112638346,NA,NA
"BAVA850026MDFLLM02",1,NA,NA,NA,876063,NA,NA,NA
"BAVB790502HVZLLN09",1,NA,NA,NA,6455226,NA,NA,NA
"BAVB790903MVZRLR01",3,NA,NA,NA,252801299,NA,NA,NA
"BAVB860220HVZTLR05",3,NA,NA,NA,273886021,NA,NA,NA
"BÁVE820217HVZZLS07",1,NA,NA,NA,9259520,NA,NA,NA
"BAVG860501MDFRRD03",2,NA,NA,NA,140879958,NA,NA,NA
"BAVL850725HDFNLR08",2,NA,NA,NA,159180788,NA,NA,NA
"BÁVM810619MSNZLY01",3,NA,NA,NA,117286591,NA,NA,NA
"BAVN800118MPUNLC01",3,NA,NA,NA,232221167,NA,NA,NA
"BAVP810501MAGRLL07",2,1,NA,NA,211737725,22540913,NA,NA
"BAVZ700705HDFLRundefined02",3,NA,NA,NA,169309589,NA,NA,NA
"BAYG780824HVZNNB01",3,NA,NA,NA,216938740,NA,NA,NA
"BÁYI781013MSNZMS04",1,NA,NA,NA,1329533,NA,NA,NA
"BÁZM700719HVZZPR07",3,NA,NA,NA,267307278,NA,NA,NA
"BEAD801009HDFNGV08",1,NA,NA,NA,6286903,NA,NA,NA
"BEBP710927HDFNRB04",3,NA,NA,NA,149594075,NA,NA,NA
"BECA730006HDFLSD05",3,NA,NA,NA,193215916,NA,NA,NA
"BECB870327MSNNRR09",3,NA,NA,NA,258956833,NA,NA,NA
"BECJ790509MPULNZ09",1,NA,NA,NA,2233717,NA,NA,NA
"BECM780227MSNCNR07",1,NA,NA,NA,6100881,NA,NA,NA
"BECR870410HVZNRS01",1,NA,NA,NA,230612,NA,NA,NA
"BEDR860306MVZRMS05",1,NA,NA,NA,4398483,NA,NA,NA
"BEEA710908HVZNZL03",3,NA,NA,NA,147901494,NA,NA,NA
"BEEE820624MSNRPP04",1,NA,NA,NA,1813277,NA,NA,NA
"BEFT840815MPUNRD07",3,NA,NA,NA,213664403,NA,NA,NA
"BEGB800410HVZNDL05",1,NA,NA,NA,1912826,NA,NA,NA
"BEHF880702HVZCXL04",1,NA,NA,NA,1955863,NA,NA,NA
"BEJL810419MSNNMC06",1,NA,NA,NA,3007360,NA,NA,NA
"BEKE800115MPUCNS09",3,NA,NA,NA,170295332,NA,NA,NA
"BEKH820124HDFLHG03",3,NA,NA,NA,225304766,NA,NA,NA
"BEKI850609MPUNNB03",2,NA,NA,NA,121375677,NA,NA,NA
"BEKS810704HVZLNN01",2,NA,NA,NA,75665294,NA,NA,NA
"BELM880620MSNNLN07",2,NA,NA,NA,56993909,NA,NA,NA
"BEMA790704MDFNLM02",3,NA,NA,NA,245984340,NA,NA,NA
"BEMC780802HVZNDL03",3,NA,NA,NA,180388953,NA,NA,NA
"BEME860117HVZCNL08",2,NA,NA,NA,65018247,NA,NA,NA
"BEMR740608HPULRM06",1,NA,NA,NA,7199906,NA,NA,NA
"BEMS790625HPUNRL08",3,NA,NA,NA,263990615,NA,NA,NA
"BEMV740026HDFCRC03",2,NA,NA,NA,107418120,NA,NA,NA
"BÉOJ700412MAGTRN09",1,NA,NA,NA,2606963,NA,NA,NA
"BEPB820808HSNNRT06",1,NA,NA,NA,2076985,NA,NA,NA
"BÉPC820425MSNTDL09",1,NA,NA,NA,7775815,NA,NA,NA
"BEPF800614HDFRRR05",1,NA,NA,NA,7697598,NA,NA,NA
"BEQM790313HVZLNR01",2,NA,NA,NA,98817816,NA,NA,NA
"BEQR830016MAGCÑN09",1,NA,NA,NA,9654009,NA,NA,NA
"BERB700506HPUNMN01",1,NA,NA,NA,2899940,NA,NA,NA
"BÉRC800418MPUTDR04",3,NA,NA,NA,185374216,NA,NA,NA
"BERN850106MSNLVT04",2,NA,NA,NA,178739901,NA,NA,NA
"BESA850813HSNNLN01",3,NA,NA,NA,90136317,NA,NA,NA
"BÉSM760814MSNTSR04",1,NA,NA,NA,5586509,NA,NA,NA
"BETA840022HPUNR 07",3,NA,NA,NA,206145943,NA,NA,NA
"BETF780902HSNRRR08",3,NA,NA,NA,158100209,NA,NA,NA
"BEVM760617HDFRLR01",1,NA,NA,NA,5960467,NA,NA,NA
"BEVS760926MDFRLS08",1,1,NA,NA,63127538,109790134,NA,NA
"BÉXA800007HSNTCG05",1,NA,NA,NA,7800051,NA,NA,NA
"BEZI750314MAGRPR01",2,1,NA,NA,87543098,146522115,NA,NA
"BLAF890209MDFLNR05",1,NA,NA,NA,1688665,NA,NA,NA
"BLHL740203HPULRL01",1,NA,NA,NA,5747189,NA,NA,NA
"BLKD820011HSNLRN09",2,NA,NA,NA,226317483,NA,NA,NA
"BLKG850217HVZLND06",1,NA,NA,NA,5026541,NA,NA,NA
"BLVJ700406MPULRL03",3,NA,NA,NA,102869302,NA,NA,NA
"BOBE830617MAGTRN01",1,NA,NA,NA,2373079,NA,NA,NA
"BOBM740027MSNNDR07",1,NA,NA,NA,9798515,NA,NA,NA
"BODA820002HSNRL 06",1,NA,NA,NA,1439894,NA,NA,NA
"BOGV730408HDFNDC06",2,1,NA,NA,128065117,108071893,NA,NA
"BOIR740724HAGNRB06",1,NA,NA,NA,915052,NA,NA,NA
"BOJB821026HPUTMN06",1,NA,NA,NA,808370,NA,NA,NA
"BOKI850303HVZNRB03",3,NA,NA,NA,166256005,NA,NA,NA
"BOLK820110MAGRRM03",1,1,NA,NA,92125487,66345340,NA,NA
"BOME890921HSNNDT09",3,NA,NA,NA,234018874,NA,NA,NA
"BOMM700219HAGTTN03",2,NA,NA,NA,33736546,NA,NA,NA
"BOMR721116MDFNNN06",1,NA,NA,NA,1142982,NA,NA,NA
"BONM760516MDFTRR06",1,NA,NA,NA,950267,NA,NA,NA
"BOPJ761118MVZNRM03",1,NA,NA,NA,1188959,NA,NA,NA
"BORI710917MPUNYR02",1,NA,NA,NA,5084242,NA,NA,NA
"BOZG810910MVZTYR02",1,NA,NA,NA,6216626,NA,NA,NA
"BRAG730203HVZRNR04",1,NA,NA,NA,6369419,NA,NA,NA
"BRCA750011HDFRLX04",1,NA,NA,NA,1445382,NA,NA,NA
"BRCP800112MAGRSL06",1,NA,NA,NA,9860524,NA,NA,NA
"BREG790705HSNRCD07",1,NA,NA,NA,9622953,NA,NA,NA
"BRFN810219MVZRLM02",1,NA,NA,NA,6358039,NA,NA,NA
"BRGC720726HSNRNN06",1,NA,NA,NA,7911312,NA,NA,NA
"BRGE880019HAGRRT05",2,NA,NA,NA,91989552,NA,NA,NA
"BRGL700301HVZRRS06",1,NA,NA,NA,595523,NA,NA,NA
"BRHG700417HDFRRL01",1,NA,NA,NA,2516043,NA,NA,NA
"BRJG750821HAGRMR06",2,NA,NA,NA,58027316,NA,NA,NA
"BRKD841023HAGRRM05",3,NA,NA,NA,250755050,NA,NA,NA
"BRLA851119MPURMR02",1,1,NA,NA,88342803,78222788,NA,NA
"BRMG700304MPURRR08",1,NA,NA,NA,1469036,NA,NA,NA
"BRML830518HSNRLS08",3,NA,NA,NA,237163031,NA,NA,NA
"BRMM790202HSNRNR06",3,NA,NA,NA,161062836,NA,NA,NA
"BRPJ830503HPURDN08",3,NA,NA,NA,260601056,NA,NA,NA
"BRPM890825HAGRNR04",2,1,NA,NA,211851152,130798152,NA,NA
"BRRJ881122MVZRDS06",3,NA,NA,NA,208551736,NA,NA,NA
"BRST740020MPURNM05",1,NA,NA,NA,9872004,NA,NA,NA
"BRTF880003MDFRRL05",1,NA,NA,NA,359201,NA,NA,NA
"BRUV740311MVZRRC07",1,NA,NA,NA,6364448,NA,NA,NA
"BRVM890611MSNRLR06",1,NA,NA,NA,1049772,NA,NA,NA
"BUAF830709HPUNLR02",1,NA,NA,NA,1711118,NA,NA,NA
"BUBL790601HDFSRS02",1,NA,NA,NA,964522,NA,NA,NA
"BUCJ850923HDFRLR06",1,NA,NA,NA,4763855,NA,NA,NA
"BUCM840821HAGSHT01",2,NA,NA,NA,135874258,NA,NA,NA
"BUDM800108HVZRLR07",2,NA,NA,NA,82869876,NA,NA,NA
"BUEA880710HSNSPN06",3,NA,NA,NA,163648550,NA,NA,NA
"BUEC750612HVZNCL08",3,NA,NA,NA,115367930,NA,NA,NA
"BUGJ860918HVZSRL03",1,NA,NA,NA,1036902,NA,NA,NA
"BUGL711005MSNSZN09",1,NA,NA,NA,3509024,NA,NA,NA
"BUGL761105HVZRRS04",1,NA,NA,NA,1868320,NA,NA,NA
"BUGM800714HAGSLR05",2,NA,NA,NA,150318988,NA,NA,NA
"BUNE880226MVZSRL03",3,NA,NA,NA,203021665,NA,NA,NA
"BUPE770207HPURÑL04",3,NA,NA,NA,134733024,NA,NA,NA
"BUPE850618MDFSBR04",3,NA,NA,NA,111025412,NA,NA,NA
"BUPH810918MVZRDM05",3,NA,NA,NA,130153674,NA,NA,NA
"BURI850410MDFSLB03",1,NA,NA,NA,7365516,NA,NA,NA
"BUVX710806HPUNRM08",1,NA,NA,NA,4411551,NA,NA,NA
"BUYM780126MSNSÑR05",2,NA,NA,NA,156999453,NA,NA,NA
"BUZO860004MSNNVT04",1,NA,NA,NA,6033559,NA,NA,NA
"CAAB860805MPUSVN02",1,NA,NA,NA,768519,NA,NA,NA
"CAAC760124MSNRGR09",1,NA,NA,NA,6367138,NA,NA,NA
"CAAC810325HSNNMR06",3,NA,NA,NA,115641619,NA,NA,NA
"CAAD710816MPULGN07",2,NA,NA,NA,177691359,NA,NA,NA
"CAAD791121MPURNM04",2,1,NA,NA,216227689,107411165,NA,NA
"CAAE810925HAGBVL07",3,NA,NA,NA,200882731,NA,NA,NA
"CAAG780917HDFSNB02",1,NA,NA,NA,4633538,NA,NA,NA
"CAÁG850810HAGSLL08",1,NA,NA,NA,2264030,NA,NA,NA
"CAAI870016HSNRDR06",1,NA,NA,NA,5186518,NA,NA,NA
"CAAL810123MDFRBN05",3,NA,NA,NA,107757317,NA,NA,NA
"CAAM750702HSNRLR06",3,NA,NA,NA,98660390,NA,NA,NA
"CAAM791018HAGRTT02",2,NA,NA,NA,174042593,NA,NA,NA
"CAAM821126HPURSR06",1,NA,NA,NA,68412726,NA,NA,NA
"CAAR780607HVZRBS08",3,NA,NA,NA,151072416,NA,NA,NA
"CAAR830419HVZSVB01",1,NA,NA,NA,5412189,NA,NA,NA
"CAAR870425HSNLMD04",1,NA,NA,NA,6973998,NA,NA,NA
"CAAS760602MDFLÑN09",1,NA,NA,NA,1422530,NA,NA,NA
"CAAV790722HSNRYC09",3,NA,NA,NA,229119800,NA,NA,NA
"CABB791002HSNMRR02",3,NA,NA,NA,214263931,NA,NA,NA
"CABB850512HDFRRR07",1,NA,NA,NA,8699244,NA,NA,NA
"CABC841008HDFSSR05",3,NA,NA,NA,170984043,NA,NA,NA
"CABG740819HAGRLL08",3,NA,NA,NA,205422595,NA,NA,NA
"CABM850317HAGRRL09",2,NA,NA,NA,89554020,NA,NA,NA
"CABP871108MPUBRD02",1,NA,NA,NA,742328,NA,NA,NA
"CABP880106MDFMTT08",1,NA,NA,NA,2047418,NA,NA,NA
"CABT861110HDFRRR09",3,NA,NA,NA,127008868,NA,NA,NA
"CABV850321MDFSZR07",1,NA,NA,NA,4668315,NA,NA,NA
"CABZ890217MSNRRundefined02",3,NA,NA,NA,166469150,NA,NA,NA
"CACA740213MPUNSJ09",1,NA,NA,NA,6433927,NA,NA,NA
"CACA841123MDFLHX05",1,NA,NA,NA,355933,NA,NA,NA
"CACE810927MDFSSZ08",3,NA,NA,NA,176136515,NA,NA,NA
"CACF800307MVZRHD01",1,NA,NA,NA,5980010,NA,NA,NA
"CACF861024HVZRRR07",1,NA,NA,NA,1095360,NA,NA,NA
"CACI851108HPUNDC05",2,1,NA,NA,105685655,22593325,NA,NA
"CACI860014HPUSRS09",3,NA,NA,NA,124276891,NA,NA,NA
"CACJ880206HAGRNS09",3,NA,NA,NA,235987655,NA,NA,NA
"CACL801003MDFRRN05",1,NA,NA,NA,5202219,NA,NA,NA
"CACM800808HDFRRR01",2,NA,NA,NA,164897525,NA,NA,NA
"CACM800921MAGMVR05",1,NA,NA,NA,8738050,NA,NA,NA
"CACM810205MPUZBN09",3,NA,NA,NA,122596770,NA,NA,NA
"CACN790512MAGSRC03",1,NA,NA,NA,5641109,NA,NA,NA
"CACP750916HVZSSL01",3,NA,NA,NA,250603698,NA,NA,NA
"CACP880801MAGRRD04",1,NA,NA,NA,2964467,NA,NA,NA
"CACR710408HSNLNM05",2,NA,NA,NA,120554023,NA,NA,NA
"CACR781005MDFNLM01",2,NA,NA,NA,70774328,NA,NA,NA
"CADA740516HPUNLL05",2,NA,NA,NA,121120841,NA,NA,NA
"CADA820203HSNDÑN03",2,1,NA,NA,199124076,58924152,NA,NA
"CADM760611MAGRLR07",2,NA,NA,NA,31957625,NA,NA,NA
"CADM810718HSNSZR09",3,NA,NA,NA,368137759,NA,NA,NA
"CADX810717MSNVRM07",1,NA,NA,NA,7828609,NA,NA,NA
"CAEA751010MVZRHundefined01",3,NA,NA,NA,188086727,NA,NA,NA
"CAEE750625HPUSTL04",1,NA,NA,NA,6297302,NA,NA,NA
"CAEJ740101MAGDRV02",3,NA,NA,NA,218184060,NA,NA,NA
"CAEM760318HDFLCR07",3,NA,NA,NA,127928979,NA,NA,NA
"CAEY701127MAGRTL06",3,NA,NA,NA,250969689,NA,NA,NA
"CAEY770706HAGRCM08",3,NA,NA,NA,190051069,NA,NA,NA
"CAFA770804HAGRRJ01",1,NA,NA,NA,6260472,NA,NA,NA
"CAFR810903HAGSLL03",3,NA,NA,NA,122708784,NA,NA,NA
"CAGA770821MVZSR 07",1,NA,NA,NA,6779613,NA,NA,NA
"CAGA781006MAGSRundefined01",2,NA,NA,NA,87959674,NA,NA,NA
"CAGA830818MPURRN04",1,NA,NA,NA,9354406,NA,NA,NA
"CAGD870426MVZSRN02",3,NA,NA,NA,232006554,NA,NA,NA
"CAGG770202HVZSRL02",3,NA,NA,NA,152084385,NA,NA,NA
"CAGG870614HPURRL07",3,NA,NA,NA,338981073,NA,NA,NA
"CAGI871024MDFLTN08",3,NA,NA,NA,209902602,NA,NA,NA
"CAGJ760407HSNSZC04",1,NA,NA,NA,9733739,NA,NA,NA
"CAGM890424HSNLLR02",1,NA,NA,NA,192183,NA,NA,NA
"CAGP720503HPUDRD01",1,1,NA,NA,51636815,96258265,NA,NA
"CAHE740506HSNSRL01",1,NA,NA,NA,1942870,NA,NA,NA
"CAHJ820313MAGSXS09",3,NA,NA,NA,265621922,NA,NA,NA
"CAJA780006MAGLM 02",3,NA,NA,NA,269789785,NA,NA,NA
"CAJG890514HPUBRL02",1,NA,NA,NA,8470243,NA,NA,NA
"CAJI760616HSNSMS08",1,NA,NA,NA,2484144,NA,NA,NA
"CAJJ741024HAGRRC02",1,NA,NA,NA,1270089,NA,NA,NA
"CAJN830113MVZSRM07",1,NA,NA,NA,7441703,NA,NA,NA
"CAKA780619HVZSRN02",1,NA,NA,NA,1110964,NA,NA,NA
"CAKA790508HPURNJ06",3,NA,NA,NA,191900111,NA,NA,NA
"CAKC730914MPUSHN01",3,NA,NA,NA,199527237,NA,NA,NA
"CAKC750420MVZRNL07",2,NA,NA,NA,147784148,NA,NA,NA
"CAKC810207HAGSNR02",1,NA,NA,NA,1169244,NA,NA,NA
"CAKE730015HPURNR01",1,NA,NA,NA,9707944,NA,NA,NA
"CAKF740525MVZNRL04",3,NA,NA,NA,133633127,NA,NA,NA
"CAKL870008MDFRRS08",3,NA,NA,NA,123886172,NA,NA,NA
"CALC720801HVZZVL08",3,NA,NA,NA,268148582,NA,NA,NA
"CALC880806MVZRRR02",1,NA,NA,NA,7697395,NA,NA,NA
"CALE780323MPUBVL03",3,NA,NA,NA,205514035,NA,NA,NA
"CALF860113MVZRRL06",3,NA,NA,NA,332278668,NA,NA,NA
"CALI740527MVZNRN09",1,NA,NA,NA,3131237,NA,NA,NA
"CALJ810216HVZNLZ05",3,NA,NA,NA,146359629,NA,NA,NA
"CALK890803HPUSBV01",1,NA,NA,NA,2073035,NA,NA,NA
"CALL810311HAGBZN06",2,1,NA,NA,130058520,70868816,NA,NA
"CALM870124MDFRZR03",1,NA,NA,NA,1178436,NA,NA,NA
"CALM890924MSNLYR02",3,NA,NA,NA,158731243,NA,NA,NA
"CALT770123MSNSNR03",1,NA,NA,NA,6560494,NA,NA,NA
"CAMA721122HPURDL06",1,NA,NA,NA,7193730,NA,NA,NA
"CAMÁ770305MPURDG05",1,NA,NA,NA,5016365,NA,NA,NA
"CAMA830025HDFSNL01",1,NA,NA,NA,602511,NA,NA,NA
"CAMC710512HVZSNN06",1,NA,NA,NA,1725323,NA,NA,NA
"CAMC800701MAGRTR01",1,NA,NA,NA,1409317,NA,NA,NA
"CAMC840922MVZSTR04",2,NA,NA,NA,87553531,NA,NA,NA
"CAME740107MSNVRS01",1,NA,NA,NA,908483,NA,NA,NA
"CAMG740822HDFSNS07",3,NA,NA,NA,192553795,NA,NA,NA
"CAMG840306HVZSJL09",3,NA,NA,NA,292570135,NA,NA,NA
"CAMJ780724MAGZNR02",1,NA,NA,NA,9199992,NA,NA,NA
"CAML810005MAGRTZ03",1,NA,NA,NA,26723555,NA,NA,NA
"CAMM780111MVZRYN02",1,NA,NA,NA,6752469,NA,NA,NA
"CAMM800616MAGMYR09",3,NA,NA,NA,222114384,NA,NA,NA
"CAMM850006MDFRDX01",1,NA,NA,NA,1270499,NA,NA,NA
"CAMN700315MVZZCM09",2,NA,NA,NA,171762804,NA,NA,NA
"CAMS810617HPUSLR02",1,NA,NA,NA,8843985,NA,NA,NA
"CANÁ800326MPUSVG08",2,NA,NA,NA,171142360,NA,NA,NA
"CANM850527HAGRVN09",3,NA,NA,NA,265893318,NA,NA,NA
"CAOB761125MSNBTN01",2,NA,NA,NA,82439855,NA,NA,NA
"CAOG830426HDFLHB03",1,NA,NA,NA,1577018,NA,NA,NA
"CAOK700609MAGRVM06",1,NA,NA,NA,744230,NA,NA,NA
"CAOM850103HVZSNR04",2,NA,NA,NA,84521212,NA,NA,NA
"CAON720020HSNVNR06",2,NA,NA,NA,104203453,NA,NA,NA
"CAON880816MAGMST09",1,NA,NA,NA,8205392,NA,NA,NA
"CAOV780315MPUBHC06",3,NA,NA,NA,190486141,NA,NA,NA
"CAPÁ710005HSNNNG02",1,NA,NA,NA,8452165,NA,NA,NA
"CAPA790127HPURNL05",1,NA,NA,NA,8214917,NA,NA,NA
"CAPA790416MSNNGT07",1,NA,NA,NA,5473466,NA,NA,NA
"CAPC730709HDFRLR09",3,NA,NA,NA,343775453,NA,NA,NA
"CAPC780418MVZRBR09",1,NA,NA,NA,2081409,NA,NA,NA
"CAPC821101MPUNRR05",3,NA,NA,NA,106978140,NA,NA,NA
"CAPJ840112HAGSÑN02",1,NA,NA,NA,8140165,NA,NA,NA
"CAPJ881011HDFRRS02",2,NA,NA,NA,173855592,NA,NA,NA
"CAPM710324HAGRRR07",3,NA,NA,NA,257044302,NA,NA,NA
"CAPV720603HVZRÑC03",1,NA,NA,NA,8246145,NA,NA,NA
"CAQE830920HVZNRL03",3,NA,NA,NA,189395424,NA,NA,NA
"CAQI740611HVZBNR03",1,NA,NA,NA,4149890,NA,NA,NA
"CAQL790009MSNZNS02",1,NA,NA,NA,2469748,NA,NA,NA
"CARA720009MSNBCN02",3,NA,NA,NA,154966245,NA,NA,NA
"CARA821022MSNNMT05",1,NA,NA,NA,303487,NA,NA,NA
"CARD810120MAGZQL08",1,NA,NA,NA,8591342,NA,NA,NA
"CARI810327MDFSSN05",1,NA,NA,NA,1860100,NA,NA,NA
"CARJ720407MSNRLS05",1,NA,NA,NA,7322757,NA,NA,NA
"CARJ750211HDFZMN08",3,NA,NA,NA,172026187,NA,NA,NA
"CARL820902MDFRYR06",1,NA,NA,NA,2934085,NA,NA,NA
"CARM790806MAGSDL05",1,NA,NA,NA,1722810,NA,NA,NA
"CARN740408HDFSJM03",1,NA,NA,NA,1408720,NA,NA,NA
"CARR760120HDFMVS06",1,NA,NA,NA,3658982,NA,NA,NA
"CARS760801MSNZJR09",1,NA,NA,NA,2320155,NA,NA,NA
"CASB701122MAGRRN06",2,NA,NA,NA,151322504,NA,NA,NA
"CASC850118HVZRLR03",3,NA,NA,NA,164709575,NA,NA,NA
"CASE711021HSNNLN01",3,NA,NA,NA,53633766,NA,NA,NA
"CASE800417HSNSNM05",2,NA,NA,NA,103096810,NA,NA,NA
"CASI820922HVZRLS02",1,NA,NA,NA,6870982,NA,NA,NA
"CASJ740303HAGLZQ02",3,NA,NA,NA,254836734,NA,NA,NA
"CASL840315HPUMSR07",1,NA,NA,NA,1961848,NA,NA,NA
"CASM790025HDFMNR02",1,NA,NA,NA,1169107,NA,NA,NA
"CASÓ730102HAGSNC08",1,NA,NA,NA,2147320,NA,NA,NA
"CASS751013HVZSRB07",1,NA,NA,NA,6531209,NA,NA,NA
"CASV830514HAGRPC06",3,NA,NA,NA,153145946,NA,NA,NA
"CATC870411HPUSVR01",1,NA,NA,NA,4319514,NA,NA,NA
"CATJ841010MVZLLN07",1,NA,NA,NA,8685641,NA,NA,NA
"CATM730108MPULRR03",1,NA,NA,NA,1389224,NA,NA,NA
"CATY860101HAGSVR03",2,NA,NA,NA,193565032,NA,NA,NA
"CAVA880317MAGRLS05",1,NA,NA,NA,342694,NA,NA,NA
"CAVC701006HSNLRS04",1,NA,NA,NA,1404958,NA,NA,NA
"CAVD720619HSNMLN09",3,NA,NA,NA,118110792,NA,NA,NA
"CAVE770727HAGSLC09",1,NA,NA,NA,2817760,NA,NA,NA
"CAVE800527HDFRRV01",1,NA,NA,NA,5150229,NA,NA,NA
"CAVE860706HVZSLL04",NA,1,NA,NA,NA,33449949,NA,NA
"CAVF830814HVZNLD04",1,NA,NA,NA,9666217,NA,NA,NA
"CAVI831110HPURLS07",3,NA,NA,NA,234562024,NA,NA,NA
"CAVL801102HAGRGR08",1,NA,NA,NA,337478,NA,NA,NA
"CAVM760418HAGRNC03",1,NA,NA,NA,1926030,NA,NA,NA
"CAVR720110HVZRLS06",1,NA,NA,NA,529313,NA,NA,NA
"CAVT710716MPUNGM09",3,NA,NA,NA,298998548,NA,NA,NA
"CAYF830017HSNRBR07",2,NA,NA,NA,154649213,NA,NA,NA
"CAZI701127HPUSMN08",1,NA,NA,NA,2368274,NA,NA,NA
"CAZM790620HAGRPR02",1,NA,NA,NA,7354291,NA,NA,NA
"CEAA810222HSNJVN05",1,NA,NA,NA,1219813,NA,NA,NA
"CEAD860717HPUBSN04",3,NA,NA,NA,198794302,NA,NA,NA
"CEAE830308HAGJMV07",1,NA,NA,NA,7162886,NA,NA,NA
"CEAR770413MSNBRQ09",3,NA,NA,NA,312738872,NA,NA,NA
"CEAU830302MVZRTL03",1,NA,NA,NA,3358875,NA,NA,NA
"CEAY800527HSNNRR01",1,NA,NA,NA,1059232,NA,NA,NA
"CECE720303HAGDMM07",1,NA,NA,NA,8586033,NA,NA,NA
"CECE810610MPURRL06",3,NA,NA,NA,172095779,NA,NA,NA
"CECH711112MDFRRM06",1,NA,NA,NA,1731474,NA,NA,NA
"CECI760006MDFDRR05",3,NA,NA,NA,240911933,NA,NA,NA
"CECK860703HSNDHM02",3,NA,NA,NA,245960806,NA,NA,NA
"CECM700409MPURRG06",1,NA,NA,NA,2631477,NA,NA,NA
"CECM830401HPURBG07",1,1,NA,NA,55821338,38245003,NA,NA
"CECP760810MSNRLL02",1,NA,NA,NA,1328092,NA,NA,NA
"CEDJ850827HVZRLN01",1,NA,NA,NA,3024033,NA,NA,NA
"CEDR790915HVZJLL09",2,NA,NA,NA,83917847,NA,NA,NA
"CEEL790701HVZPCL09",1,NA,NA,NA,4101149,NA,NA,NA
"CEGJ851111MPUNJR02",1,NA,NA,NA,1162013,NA,NA,NA
"CEGM720620HDFRRL05",1,NA,NA,NA,1794456,NA,NA,NA
"CEGY850601MDFNVR09",3,NA,NA,NA,163122774,NA,NA,NA
"CEHF830208HVZNRR09",1,NA,NA,NA,8170743,NA,NA,NA
"CEHG860524MPURRR07",1,NA,NA,NA,2047399,NA,NA,NA
"CEHN731012HDFRNT01",1,NA,NA,NA,909503,NA,NA,NA
"CEIS830121MSNPLB05",1,NA,NA,NA,9198231,NA,NA,NA
"CEKN720003MDFRMT07",1,NA,NA,NA,1073534,NA,NA,NA
"CEKS890427HDFDNL09",3,NA,NA,NA,234144278,NA,NA,NA
"CELM870015MDFJYR01",2,NA,NA,NA,203052250,NA,NA,NA
"CELR850917MAGRCF04",2,1,NA,NA,154186961,108789908,NA,NA
"CEMG810105HSNNTS01",1,NA,NA,NA,1775213,NA,NA,NA
"CEMH750601HSNBSR06",3,NA,NA,NA,256105716,NA,NA,NA
"CEMI801022MDFRTN05",2,NA,NA,NA,118400364,NA,NA,NA
"CEOV720512HAGDTR07",2,NA,NA,NA,129906950,NA,NA,NA
"CEPC840906HAGNRR08",2,1,NA,NA,92742774,29343360,NA,NA
"CEPJ801121MDFRZS07",1,NA,NA,NA,4026420,NA,NA,NA
"CEQM790520HSNDNR06",3,NA,NA,NA,169122788,NA,NA,NA
"CERC700213MPURBL04",2,NA,NA,NA,95876671,NA,NA,NA
"CERF840823MSNBCT09",1,NA,NA,NA,2976117,NA,NA,NA
"CERX870107MVZPSM02",3,NA,NA,NA,240899459,NA,NA,NA
"CESA850002MDFRLC08",3,NA,NA,NA,124864613,NA,NA,NA
"CESI880004HVZNSN08",1,NA,NA,NA,1058658,NA,NA,NA
"CESS770725HAGRLN06",3,NA,NA,NA,119530142,NA,NA,NA
"CETS880223MSNRRR01",1,NA,NA,NA,4179800,NA,NA,NA
"CEVA840217HDFNRX02",2,NA,NA,NA,207841136,NA,NA,NA
"CEVL840516MSNRRR01",1,NA,NA,NA,3556474,NA,NA,NA
"CHBG791119MVZHRR02",1,NA,NA,NA,9483973,NA,NA,NA
"CHCI700415HSNHRN06",3,NA,NA,NA,285615755,NA,NA,NA
"CHCL870402MSNHLS02",1,NA,NA,NA,938275,NA,NA,NA
"CHGM891023HVZHRN06",1,NA,NA,NA,6680060,NA,NA,NA
"CHKJ840517MDFHNS05",3,NA,NA,NA,277787312,NA,NA,NA
"CHMÓ870003MPUHLC06",1,NA,NA,NA,1037503,NA,NA,NA
